Iteration,Timesteps,Evaluation_score
0,2800000,-93.60527986211373
1,5600000,-92.71372048618704
2,8400000,-91.32391519617866
3,11200000,-90.43007282609612
4,14000000,-89.16119837295345
5,16800000,-88.97195142152451
6,19600000,-87.871697166563
7,22400000,-87.03372617496849
8,25200000,-85.52228882623321
9,28000000,-85.79373737369251
10,30800000,-85.1287202769175
11,33600000,-84.46693589745004
12,36400000,-83.5108774789465
13,39200000,-82.84777646625665
14,42000000,-81.99727498103458
15,44800000,-81.05598975192223
16,47600000,-79.94760123948635
17,50400000,-79.32042857337237
18,53200000,-77.7875832647019
19,56000000,-78.36521979338335
20,58800000,-77.58390665799398
21,61600000,-76.68281871566485
22,64400000,-76.96093650978482
23,67200000,-76.79981272994455
24,70000000,-76.27795725902263
25,72800000,-77.27749549421532
26,75600000,-77.4618168824666
27,78400000,-78.14114436948118
28,81200000,-77.45077979614854
29,84000000,-76.92867361813754
30,86800000,-78.35425008043477
31,89600000,-78.56442900330396
32,92400000,-79.51982247871314
33,95200000,-79.47686259108266
34,98000000,-80.40540362592307
35,100800000,-79.58125358490996
36,103600000,-78.92312835464219
37,106400000,-78.3230406237023
38,109200000,-77.20202998725487
39,112000000,-75.52826011909403
40,114800000,-73.80034102550624
41,117600000,-72.40723866343663
42,120400000,-71.0910470814376
43,123200000,-69.6079032950653
44,126000000,-68.54656400265088
45,128800000,-67.17728067109503
46,131600000,-64.80800396908428
47,134400000,-61.44984966464559
48,137200000,71.04936875887267
49,140000000,55.53280154768843
50,142800000,56.04355389474614
51,145600000,33.80192931346856
52,148400000,51.221343740865834
53,151200000,71.13064812018386
54,154000000,88.47410704894642
55,156800000,112.51388379270925
56,159600000,134.02239377581537
57,162400000,120.79221370973953
58,165200000,129.94219538325922
59,168000000,139.54849062911646
60,170800000,143.04691081856507
61,173600000,142.39825620852858
62,176400000,140.8820854295403
63,179200000,136.9869722084178
64,182000000,127.82279359175861
65,184800000,140.58806271036218
66,187600000,158.19116326290526
67,190400000,176.12972735631746
68,193200000,166.46523920101683
69,196000000,148.97228409937583
70,198800000,132.6273333258965
71,201600000,110.44588012701092
72,204400000,107.91707700864035
73,207200000,79.94985021633302
74,210000000,72.97714566302147
75,212800000,28.153426308529436
76,215600000,32.72390026531752
77,218400000,33.04707279545498
78,221200000,17.539460133124795
79,224000000,1.3086251658573165
80,226800000,-28.747181475640712
81,229600000,-21.873101655236372
82,232400000,-39.36443026390544
83,235200000,-37.582157587560744
84,238000000,-39.61327035618593
85,240800000,-47.9083379835931
86,243600000,-41.64089146717164
87,246400000,24.994662941342817
88,249200000,36.604540000649635
89,252000000,51.832800769829916
90,254800000,61.779514037519036
91,257600000,67.77154636739552
92,260400000,52.011896613616685
93,263200000,50.89526767746467
94,266000000,49.13721338316378
95,268800000,43.06696336722778
96,271600000,63.020988689612885
97,274400000,90.39320591693343
98,277200000,102.01373371664022
99,280000000,117.38157269059272
100,282800000,118.08254589694909
101,285600000,116.31152330974814
102,288400000,110.53388586925675
103,291200000,120.37449251388645
104,294000000,119.30959256057902
105,296800000,116.7654963701078
106,299600000,118.50088460657294
107,302400000,129.68029524387885
108,305200000,118.71607051240383
109,308000000,117.74245763294411
110,310800000,133.93105322852213
111,313600000,146.6772223437841
112,316400000,150.8727684721519
113,319200000,148.53294561504657
114,322000000,152.5505884532221
115,324800000,170.39515866532645
116,327600000,167.60763527654072
117,330400000,175.4177916726563
118,333200000,164.56464855509938
119,336000000,173.08576662578668
120,338800000,186.36964887763503
121,341600000,182.93779652039365
122,344400000,175.79467026842354
123,347200000,190.18270376958213
124,350000000,203.98096235284822
125,352800000,216.95649434257547
126,355600000,220.7865599544251
127,358400000,237.8742576065083
128,361200000,267.0582924003892
129,364000000,280.20393589942694
130,366800000,282.29601999695524
131,369600000,276.13451247261185
132,372400000,282.41089710385415
133,375200000,303.61239929548594
134,378000000,296.9677443591854
135,380800000,317.27026516384456
136,383600000,314.62276524173905
137,386400000,326.26794294202324
138,389200000,328.70521986547266
139,392000000,339.50746033719804
140,394800000,332.8088838442376
141,397600000,333.73575977491595
142,400400000,338.5724056544326
143,403200000,340.81417590480265
144,406000000,340.51801765857243
145,408800000,360.5251341583207
146,411600000,359.27509905535
147,414400000,360.9730971878763
148,417200000,354.6379827774664
149,420000000,354.0746949383206
150,422800000,348.41279058863887
151,425600000,366.1527813173061
152,428400000,360.7535244191221
153,431200000,364.32019720694063
154,434000000,375.92509056762293
155,436800000,391.61666435462536
156,439600000,406.19302021759887
157,442400000,413.04183298434856
158,445200000,426.1336637381872
159,448000000,441.56012289829516
160,450800000,451.86839632748735
161,453600000,454.7695563406787
162,456400000,447.2902351971026
163,459200000,443.22365977579165
164,462000000,438.6367645500517
165,464800000,414.2387262921028
166,467600000,372.3035020883462
167,470400000,377.0720384363133
168,473200000,346.9263216410664
169,476000000,333.2049202144766
170,478800000,311.6345995980529
171,481600000,290.78868743999476
172,484400000,272.57285172706406
173,487200000,297.6033759979406
174,490000000,311.8035270715328
175,492800000,310.0136036981845
176,495600000,299.90964802518084
177,498400000,333.0970343469985
178,501200000,321.7077071096245
179,504000000,345.62123848692056
180,506800000,295.0868064230903
181,509600000,357.4419042999122
182,512400000,356.1297630567759
183,515200000,347.23916730141775
184,518000000,367.45057404027773
185,520800000,425.9734209458563
186,523600000,441.2636172091661
187,526400000,480.25452230019664
188,529200000,500.14585531198475
189,532000000,492.8437507638714
190,534800000,498.5237846969767
191,537600000,531.2404579326035
192,540400000,529.7350815169721
193,543200000,567.8739199125736
194,546000000,548.6053426716419
195,548800000,536.102226340329
196,551600000,602.2129771048491
197,554400000,596.6365912722556
198,557200000,606.2377784715202
199,560000000,662.5172329737521
200,562800000,663.2606749595977
201,565600000,700.6373046904557
202,568400000,747.7076893444346
203,571200000,740.6093038963724
204,574000000,752.149016362931
205,576800000,819.1868204494192
206,579600000,803.4763176161716
207,582400000,779.7223029126347
208,585200000,781.0207481169417
209,588000000,802.3770115585334
210,590800000,785.3245208807581
211,593600000,816.2435451391823
212,596400000,808.445088408903
213,599200000,833.957208544662
214,602000000,809.5198123419904
215,604800000,823.9210913315835
216,607600000,787.4812105622696
217,610400000,780.6363059520413
218,613200000,781.8493336445939
219,616000000,764.4248737676783
220,618800000,761.7392080030451
221,621600000,758.912278491025
222,624400000,730.0066802626395
223,627200000,720.9291300833014
224,630000000,757.2710293496441
225,632800000,726.6369513697863
226,635600000,739.1942296099006
227,638400000,686.6460534845435
228,641200000,711.5506725815222
229,644000000,707.2049310840978
230,646800000,688.7004662238967
231,649600000,697.0542724485674
232,652400000,671.5943619003199
233,655200000,714.070246539083
234,658000000,717.4675954011612
235,660800000,715.602181846715
236,663600000,735.1517822926719
237,666400000,724.2110585092012
238,669200000,738.3421694532911
239,672000000,758.5852244999664
240,674800000,784.9754433869529
241,677600000,768.7371507466561
242,680400000,780.255133439566
243,683200000,805.0209885520613
244,686000000,815.8757820542404
245,688800000,831.025637843047
246,691600000,846.943412467191
247,694400000,821.0298322618908
248,697200000,788.8588952396105
249,700000000,786.3038490377563
250,702800000,776.8533895467277
251,705600000,794.6139674379363
252,708400000,809.7509157552397
253,711200000,741.414349183597
254,714000000,769.3027025954461
255,716800000,767.3822471007728
256,719600000,758.0183861945163
257,722400000,721.1919484349961
258,725200000,743.3151642247972
259,728000000,702.3420894670987
260,730800000,739.8189296772924
261,733600000,747.3130972502987
262,736400000,768.9436874618201
263,739200000,723.455809352761
264,742000000,676.3028481849374
265,744800000,715.3265107416903
266,747600000,731.8002726599136
267,750400000,756.859549741959
268,753200000,733.2455400687561
269,756000000,719.7591398807051
270,758800000,685.7531083700186
271,761600000,779.8876371800935
272,764400000,750.6898534220261
273,767200000,761.8640400657298
274,770000000,709.3272719932578
275,772800000,742.1315419567131
276,775600000,743.0771363260465
277,778400000,802.7559467466851
278,781200000,778.9958321924507
279,784000000,822.9142679600952
280,786800000,791.6032877134802
281,789600000,799.2877485885535
282,792400000,784.1823634093537
283,795200000,843.9172626227794
284,798000000,845.5534867246555
285,800800000,816.2687743808222
286,803600000,776.994074433499
287,806400000,829.3380821738268
288,809200000,830.8413032785572
289,812000000,809.2441341667206
290,814800000,811.1908668341111
291,817600000,808.8406186310299
292,820400000,823.1182264198769
293,823200000,809.1177288676236
294,826000000,827.6596215690042
295,828800000,829.8490926339686
296,831600000,838.3021930658946
297,834400000,907.09207413852
298,837200000,812.3763711505128
299,840000000,731.126725706112
300,842800000,767.0770889633598
301,845600000,826.7195954674391
302,848400000,766.513252033373
303,851200000,710.1941942068172
304,854000000,782.4115933515238
305,856800000,732.9831225896767
306,859600000,672.1030403133343
307,862400000,761.8760460154131
308,865200000,611.7335261116579
309,868000000,668.0297063830093
310,870800000,780.542003474314
311,873600000,805.34671933596
312,876400000,771.8588840413756
313,879200000,603.5653739528155
314,882000000,826.7163610397926
315,884800000,738.2725620316132
316,887600000,734.607074231367
317,890400000,772.0669000495294
318,893200000,690.6710072197623
319,896000000,673.121932797089
320,898800000,492.07502907827813
321,901600000,571.5203983025766
322,904400000,663.2070203825691
323,907200000,777.0460816367897
324,910000000,692.2447013674829
325,912800000,505.73766030621783
326,915600000,373.09183821764435
327,918400000,628.2518274644268
328,921200000,726.4095046152624
329,924000000,550.0036572585407
330,926800000,764.6051062200294
331,929600000,580.002529933957
332,932400000,660.9259049239097
333,935200000,710.8550595179272
334,938000000,806.7882729340381
335,940800000,721.8100772887849
336,943600000,861.7442678960746
