Iteration,Timesteps,Evaluation_score
0,112129,1.8555612102273655
1,241713,1.93091286679519
2,360943,2.217267452755996
3,463380,2.227835441108872
4,616926,2.506925217962565
5,755103,2.7905169240886076
6,897523,3.036340715264653
7,1029252,3.245706216518811
8,1130621,3.9146937417256624
9,1265766,3.9760939797087587
10,1394930,4.658291182171668
11,1530788,5.509450195069417
12,1656753,5.824544062518842
13,1819819,6.61249390484439
14,1950264,7.5759018817540476
15,2129886,8.73582883472873
16,2312159,11.194003081719641
17,2471271,18.04758138004454
18,2631199,46.155208825831735
19,2811350,95.5244600505242
20,2970324,72.95487757993953
21,3135249,67.09630657405832
22,3391888,64.22429304554143
23,3553452,57.39827411004363
24,3800602,54.94614885103381
25,4012342,53.36408739799352
26,4190044,51.632550180625095
27,4375169,49.724702534520986
28,4594242,48.62210239057963
29,5275621,51.3619356643607
30,5430470,49.55581280534757
31,5626937,48.98326656291109
32,5812719,48.10402673654043
33,6085780,47.7166199329678
34,6247229,47.54653268746887
35,6520628,47.26457522798735
36,6718488,47.70324580627657
37,6979181,48.29560155536838
38,7189598,48.34109516624678
39,7464142,49.255357445935296
40,7679158,50.852701929465326
41,7924835,51.20775134861638
42,8093727,51.03125566635189
43,8340882,56.178554488120746
44,8517166,56.30641112683678
45,8807134,56.29704817629998
46,9811550,59.3681274391923
47,10141620,58.00184239185084
48,10421422,60.94834637179497
49,10623345,60.78343133023638
50,10816447,60.0750252047045
51,10999923,61.66857152693723
52,11360605,61.03491561814742
53,11545825,60.30656725696953
54,11816801,61.162149571006
55,12020031,61.46020461487937
56,12339373,62.14999769304389
57,12876400,62.26206757993614
58,13620188,63.96634313416057
59,14212170,65.69077674608418
60,14897430,66.41974049340521
61,15544809,67.59573557484893
62,15754441,66.98066801476826
63,16450650,68.60109749603468
64,16747115,69.72996183359771
65,17501637,73.68945640910042
66,17905727,73.16074969428345
67,19057160,86.65903136815353
68,19358218,643.5196633118728
69,20010517,834.6845634397632
70,20212831,932.5680004421049
71,20489082,932.933611774776
72,21199771,933.3362612674744
73,21963663,933.8857205206247
74,22608802,1020.9708454124981
75,23372865,1016.7871764394944
76,23548470,1018.5063869066923
77,23892202,1019.8755182918167
78,24550306,1018.0273059302577
79,24974248,1017.6777006690332
80,26135130,1017.8218343036893
81,26382404,955.7130654532214
82,26716107,1016.1313259779527
83,27047033,1015.219733440446
84,27682303,1014.5182080985585
85,28635718,1015.6204566889255
86,28921204,1015.2481483785368
87,29583842,1014.1682111692589
88,30532059,1013.3367158404888
89,31756730,1012.6588564667697
90,33403887,1012.8781892412641
91,34178474,1012.737349263726
92,34365807,1012.8995656756751
93,35202201,1012.2316128174801
94,35982239,1012.4057642148507
95,36778377,1011.6914683717581
96,38113977,1012.3378345706154
97,38402169,1011.2640785426305
98,38692853,1011.6883845732134
99,39641410,1011.7590736655102
100,40866792,1012.2658586329022
101,42050716,1012.4150955511334
102,43109559,1012.2953517147837
103,43815710,1012.3637843358972
104,46468941,1012.2688179629262
