Iteration,Timesteps,Evaluation_score
0,94220,80.20649274920719
1,183386,80.66186233542484
2,287419,78.64518534106477
3,393220,78.79297277368352
4,497548,78.64343971450988
5,598358,78.51190716388618
6,698268,78.33692730792605
7,810298,78.24625768997541
8,923218,78.07902155659966
9,1015092,77.45829474483803
10,1127206,83.36837925208923
11,1231644,94.44074728251863
12,1360806,117.57706648319888
13,1497125,86.40708719875124
14,1600512,127.76144141050005
15,1704269,100.96153311117048
16,1812583,129.12178364296844
17,1915094,170.3087802871298
18,2029572,171.16165402281268
19,2132393,150.03732131292526
20,2231876,158.23368977875845
21,2349032,141.0373375416906
22,2459288,129.6014804015236
23,2558728,131.90507256631363
24,2673524,140.7208704011406
25,2774550,150.19438486883556
26,2871036,111.01313513033203
27,2973234,105.47324781148953
28,3084218,95.65854805178732
29,3190507,81.53641814452384
30,3285169,76.75009757224362
31,3397390,88.69249810406767
32,3529230,109.39810114070887
33,3636671,83.85994888141356
34,3748964,95.53819580488701
35,3851978,99.97938190102425
36,3969598,99.04453504653034
37,4083692,133.09594761639636
38,4207524,138.16640601661726
39,4324727,158.651995773433
40,4435597,209.52103961848238
41,4539686,214.9343856850303
42,4651089,148.29719725655198
43,4748825,96.50995106090002
44,4861656,104.62326895316251
45,4964611,139.08975738751866
46,5079382,120.93626595881224
47,5195183,120.73737915169428
48,5315058,123.36587522514542
49,5437937,134.83226611549026
50,5545565,110.89514632277333
51,5650012,160.90158103004723
52,5772160,97.74427094641734
53,5900639,129.51222906970074
54,6007816,102.22847509721257
55,6119385,101.96978797039277
56,6225257,94.92607424271688
57,6342970,97.90522567560177
58,6473336,109.57794936908161
59,6569901,120.01034645472919
60,6695699,122.73773927095813
61,6815097,90.75586796176484
62,6943752,114.62438026495985
63,7065221,104.65442589357004
64,7199561,111.70086764729686
65,7303243,114.8535484625686
66,7421308,128.15255907977036
67,7533733,121.08131291199955
68,7650735,109.9882153946359
69,7756300,95.5027308047799
70,7858433,104.13619474662107
71,7976595,101.57384475044702
72,8096691,108.33939958808176
73,8198798,110.8878340102078
74,8329945,125.1744708445405
75,8435586,122.09390725849235
76,8538555,132.49114928118667
77,8668768,99.84461867078883
78,8795981,125.68615727863948
79,8921612,128.98717681310268
80,9042807,136.1472014302512
81,9171319,150.14282822823046
82,9300472,146.86254043978803
83,9414435,152.0907774646472
84,9547457,147.50280939124394
85,9668882,192.4118790446365
86,9778035,185.38424087735103
87,9901527,226.64495774946027
88,10014161,247.11646090200915
89,10120063,237.56113811499307
90,10233205,203.63666326017108
91,10356614,256.9391192677044
92,10456688,240.35699000414002
93,10579942,243.6730587895564
94,10707562,237.8105402313347
95,10833598,255.22389932642858
96,10961444,259.84942030900163
97,11119004,282.3983533412853
98,11250505,258.394650942509
99,11375553,274.42355110883443
100,11491465,285.45515429315174
101,11604587,259.39287452536695
102,11739607,256.8181175591743
103,11838221,266.58977695011447
104,11948692,235.35048584190798
105,12083784,238.6160481556893
106,12208565,281.1298335685416
107,12358616,293.41416370450014
108,12479869,309.1915735410291
109,12603095,283.1198202746801
110,12751069,354.1473993609832
111,12853994,306.9269002434887
112,13000056,336.1953658740686
113,13129812,335.8807613950895
114,13271619,394.9479949434471
115,13407043,321.66261992348103
116,13537929,332.0517636629366
117,13669722,329.40961846067296
118,13795366,325.558605255382
119,13902588,304.9358668526692
120,14036041,305.1893947891786
121,14149451,299.78346110870996
122,14265070,261.3857314202746
123,14388757,338.9464884390627
124,14509082,239.92937520940967
125,14657944,240.36822247270592
126,14822464,255.40160506012347
127,14956259,278.6856209350226
128,15097929,272.37326433751446
129,15212554,222.48095420051533
130,15343781,240.0924414341568
131,15478677,231.0489695463669
132,15607011,231.94547492939742
133,15747546,195.9738427623513
134,15866369,186.04179958244157
135,16000858,227.21515526736061
136,16119138,196.78690647684462
137,16253259,214.71950948509144
138,16385057,171.81305625301428
139,16505954,179.68199686843798
140,16637106,182.5362885752266
141,16755789,171.26631628543777
142,16883790,160.34794246920174
143,17014636,185.3599240476881
144,17135464,173.47945033923054
145,17262189,189.91858116538555
146,17398505,189.14665856793562
147,17525272,187.9608242813909
148,17677562,192.77558415293987
149,17804648,173.56676761711736
150,17952630,196.84313581569205
151,18080389,192.64167019036805
152,18206390,164.47638398005228
153,18330400,223.6442527118992
154,18467640,238.34930443291282
155,18586450,256.9339971919065
156,18703840,208.91819376931116
157,18843022,191.02502375316757
158,18964832,243.96358920101397
159,19097401,212.8081284533239
160,19220579,210.7130923213023
161,19375713,217.17285886086296
162,19501378,249.54521133970948
163,19618600,244.6112011483655
164,19748615,265.04811609484005
165,19897127,227.41404623356152
166,20053895,232.5691094620132
