Iteration,Timesteps,Evaluation_score
0,2800000,-5.6783335929082295
1,5600000,-5.798926983848505
2,8400000,-3.7576261925941887
3,11200000,1.0597194512817296
4,14000000,7.2836707593852905
5,16800000,11.728739355182121
6,19600000,24.21161148999755
7,22400000,28.028566930308262
8,25200000,28.105659623402442
9,28000000,26.43184504148412
10,30800000,26.521078599161832
11,33600000,24.923734701823502
12,36400000,23.448069087261594
13,39200000,21.32827903830057
14,42000000,20.672708554993505
15,44800000,20.246020369060922
16,47600000,19.7808166949576
17,50400000,19.947715400289134
18,53200000,19.537911532327982
19,56000000,18.937496874070476
20,58800000,18.833178612363398
21,61600000,18.437843600229066
22,64400000,18.51542887669726
23,67200000,17.82362856370591
24,70000000,18.287325972753038
25,72800000,17.660158874456364
26,75600000,18.529229927503927
27,78400000,17.975136185135234
28,81200000,17.827320863102997
29,84000000,17.882871717913275
30,86800000,17.951959836575025
31,89600000,17.970399860732847
32,92400000,17.9461703599767
33,95200000,18.577328439489435
34,98000000,19.15194375247679
35,100800000,17.955531129832636
36,103600000,18.8257581210999
37,106400000,19.39547541914463
38,109200000,18.73766164427638
39,112000000,19.37525550475699
40,114800000,20.057264711244702
41,117600000,19.547948652054465
42,120400000,18.61825930774919
43,123200000,19.154599607360332
44,126000000,19.945431279091242
45,128800000,19.413811466009484
46,131600000,20.685599257456282
47,134400000,19.763127634340208
48,137200000,20.05264842160509
49,140000000,19.9178534934152
50,142800000,20.381656480601027
51,145600000,20.930434703027252
52,148400000,20.86696474340616
53,151200000,20.59129156144834
54,154000000,21.06407222710814
55,156800000,22.12414709055606
56,159600000,22.041349151528703
57,162400000,21.414204889675876
58,165200000,22.052323914544232
59,168000000,22.0173333377862
60,170800000,21.951026705218386
61,173600000,22.4269496307746
62,176400000,22.796466454204946
63,179200000,22.45694288104646
64,182000000,23.056267386744697
65,184800000,23.332023227373966
66,187600000,23.05851983068647
67,190400000,23.54799887334741
68,193200000,23.261467917049444
69,196000000,23.41154462950488
70,198800000,23.702051350390846
71,201600000,24.112681463214642
72,204400000,24.369048362346
73,207200000,23.90084172047931
74,210000000,23.857816997744788
75,212800000,24.50025822371964
76,215600000,23.5142729452212
77,218400000,23.813065892960555
78,221200000,24.440307035358153
79,224000000,24.781285163392667
80,226800000,24.43938730377853
81,229600000,24.199289729449923
82,232400000,24.398078004526713
83,235200000,24.793431028033904
