Iteration,Timesteps,Evaluation_score
0,5000000,24.987451770868663
1,10000000,23.249266730242255
2,15000000,20.394085319146274
3,20000000,16.73290898462755
4,25000000,22.696235522921576
5,30000000,24.229065988636815
6,35000000,25.494745985048034
7,40000000,27.066039163799843
8,45000000,27.145357256562836
9,50000000,27.558501585999842
10,55000000,27.343926542153316
11,60000000,26.8725831305885
12,65000000,27.228231440945233
13,70000000,27.772784866066633
14,75000000,27.242936821675663
15,80000000,26.486769468000603
16,85000000,28.259284759950038
17,90000000,27.09932373073522
18,95000000,27.108416743639964
19,100000000,27.47937483596511
20,105000000,28.31076388312395
21,110000000,28.731391841466984
22,115000000,29.76712087592792
23,120000000,28.701914707554966
24,125000000,30.36766873200574
25,130000000,30.72325908942451
26,135000000,31.123541538014944
27,140000000,32.489703664711406
28,145000000,31.86461330976935
29,150000000,33.587953053642124
30,155000000,32.82008832653793
31,160000000,33.566461385058574
32,165000000,33.427866800436604
33,170000000,32.46996193548794
34,175000000,33.345613249287894
35,180000000,33.222883495489164
36,185000000,34.00536672570851
37,190000000,35.391259518314264
38,195000000,35.2249563029122
39,200000000,36.27889435734078
40,205000000,36.23275293927638
41,210000000,37.79294558479886
42,215000000,37.68867372131408
43,220000000,35.058034259600376
44,225000000,36.543525438262165
45,230000000,36.980446799034226
46,235000000,38.441076708981484
47,240000000,37.911087382784196
48,245000000,38.17123723842876
49,250000000,39.83869086613652
50,255000000,37.02928977478264
51,260000000,38.60611436899693
52,265000000,38.50696929626538
53,270000000,38.50556246579781
54,275000000,38.68038753795271
55,280000000,37.781401816799885
56,285000000,37.18050390384086
57,290000000,38.67145354373689
58,295000000,37.91929987044338
59,300000000,40.78778861775764
60,305000000,39.258625741078426
61,310000000,39.642318208156254
62,315000000,39.19808177335989
63,320000000,37.98277686444051
64,325000000,37.99782552743049
65,330000000,39.31557784658962
66,335000000,39.244043205318555
67,340000000,38.385259058156954
68,345000000,39.87669101601579
69,350000000,39.817464318232005
70,355000000,40.63928311741192
71,360000000,39.376178651487535
72,365000000,39.88223480295596
73,370000000,41.50134540497906
74,375000000,37.58607871388198
75,380000000,40.29645335193575
76,385000000,39.53027871084444
77,390000000,40.636550805915775
78,395000000,39.213857864023474
79,400000000,39.671556219710155
80,405000000,39.44701079638427
81,410000000,39.52349844987817
82,415000000,41.92388099031369
83,420000000,41.6619873537259
84,425000000,42.372494158875455
85,430000000,39.740271938907554
86,435000000,40.729894960669306
87,440000000,41.40818280981498
88,445000000,41.209129111679815
89,450000000,41.56213005314309
90,455000000,40.925254973477934
91,460000000,40.376876865425984
92,465000000,39.71030855400432
93,470000000,35.19621754378009
94,475000000,33.38158687738045
95,480000000,32.20683249528223
96,485000000,32.98123719904017
97,490000000,22.337030885096382
98,495000000,17.399646020405427
99,500000000,7.377094363643626
100,505000000,15.561221608932183
101,510000000,19.288513320774875
102,515000000,22.8433817789107
103,520000000,21.48739789839166
104,525000000,15.766892710923818
105,530000000,11.32365301389475
106,535000000,9.529381431319612
107,540000000,4.238353580275635
108,545000000,-0.0830143956161465
109,550000000,1.2379578326348406
110,555000000,5.002454074769018
111,560000000,9.808859098975724
112,565000000,36.99781604942063
113,570000000,44.17748888814612
114,575000000,44.36147169123006
115,580000000,45.83578065276457
116,585000000,45.06711861440157
117,590000000,46.06684054029312
118,595000000,46.85084903766805
119,600000000,40.294032981668515
120,605000000,46.953398357578116
121,610000000,45.59605888406782
122,615000000,45.31223302754849
123,620000000,45.51273353500795
124,625000000,44.89161988245378
125,630000000,46.544363935133696
126,635000000,46.06544915022121
127,640000000,43.664232734069174
128,645000000,44.93926349673519
129,650000000,44.59160556384039
130,655000000,43.98094095469596
131,660000000,44.958393551279606
132,665000000,46.472030418132185
133,670000000,44.3432533587482
134,675000000,44.35438417500493
135,680000000,45.044681106307905
136,685000000,45.00417072415996
137,690000000,42.226511758927856
138,695000000,42.95314393971803
139,700000000,44.90638322670457
140,705000000,44.42973013216619
141,710000000,45.34513165699853
142,715000000,47.17240888366996
143,720000000,45.76734317385264
144,725000000,44.83204797091935
145,730000000,45.4965551302816
146,735000000,44.219420981695784
147,740000000,47.51143284704335
148,745000000,46.04601459437549
149,750000000,46.13057551732615
150,755000000,45.10193402008146
151,760000000,45.951180525789454
152,765000000,46.19626292479454
153,770000000,46.887415188363484
154,775000000,46.31355802097799
155,780000000,46.16442213306957
156,785000000,45.2046801365788
157,790000000,45.71507354456806
158,795000000,46.694416338169795
159,800000000,47.18646377426565
160,805000000,46.79872794460459
161,810000000,47.03889453311073
162,815000000,48.30865360886496
163,820000000,46.71065283685387
164,825000000,49.341420541674914
165,830000000,49.18419598602176
166,835000000,47.485223481164866
167,840000000,47.103160433494274
168,845000000,49.222003039610684
169,850000000,47.01538342128403
170,855000000,47.31481417446513
171,860000000,47.96423845178831
172,865000000,47.69496144323184
173,870000000,49.377306867967164
174,875000000,48.32306221965759
175,880000000,48.725833451023846
176,885000000,47.94323591987797
177,890000000,47.729895964518
178,895000000,47.462904053501454
179,900000000,47.454448575465356
180,905000000,47.4754098096933
181,910000000,48.190769884804446
182,915000000,48.01720076724815
183,920000000,46.94366400322122
184,925000000,47.17153864570291
185,930000000,47.788858966941994
186,935000000,47.902317174139654
187,940000000,48.40595292299472
188,945000000,48.27188987501882
189,950000000,48.047870346112404
190,955000000,47.551137969361434
191,960000000,47.60779838568352
192,965000000,48.20550491765882
193,970000000,46.99776493325747
194,975000000,47.88357196882096
195,980000000,47.93889689303678
196,985000000,48.031132949951584
197,990000000,47.999577595791564
198,995000000,47.95060391430387
199,1000000000,48.766138134540206
200,1005000000,47.41042641166153
201,1010000000,47.347884034192944
202,1015000000,47.452972178445904
203,1020000000,48.715210124473614
204,1025000000,47.27470877019888
205,1030000000,49.1714188823212
206,1035000000,48.862807305064294
207,1040000000,48.66353984219103
208,1045000000,48.55152567641197
209,1050000000,51.35361405221279
210,1055000000,49.88784370927925
211,1060000000,49.863343284196645
212,1065000000,51.95273965535696
213,1070000000,50.90202332643542
214,1075000000,51.346708573425495
215,1080000000,54.30252515826025
216,1085000000,52.89109722372522
217,1090000000,55.63721469345229
218,1095000000,55.12654490085664
219,1100000000,53.699680077339565
220,1105000000,51.1831529616459
221,1110000000,51.22504328593827
222,1115000000,53.102181520669504
223,1120000000,53.97603849147318
224,1125000000,52.471326677032344
225,1130000000,54.05179954567592
226,1135000000,50.81341452798129
227,1140000000,54.143989030173614
228,1145000000,54.283970993234526
229,1150000000,54.12091014753355
230,1155000000,55.055676968423754
231,1160000000,55.96987432702821
232,1165000000,56.1015680488686
233,1170000000,56.25894406509566
234,1175000000,55.75084389094362
235,1180000000,56.0115274174658
236,1185000000,56.212613865725004
237,1190000000,56.41428987791005
238,1195000000,56.19868296641388
239,1200000000,56.36629374760381
240,1205000000,55.70407829363256
241,1210000000,55.82643091932643
242,1215000000,55.70297168274523
243,1220000000,55.28502444570645
244,1225000000,56.15914348752186
245,1230000000,55.89239123072669
246,1235000000,56.166715158919395
247,1240000000,56.0014416616786
248,1245000000,56.17895185347371
249,1250000000,56.85832310289494
250,1255000000,56.085555550660594
251,1260000000,56.187568205180014
252,1265000000,56.141521639565575
253,1270000000,55.849647613301315
254,1275000000,55.45144092224059
255,1280000000,55.7592820125872
256,1285000000,55.19910697792149
257,1290000000,55.59210390906678
258,1295000000,55.72006723738406
259,1300000000,54.94317919018149
260,1305000000,54.612099274022384
261,1310000000,54.2488817611359
262,1315000000,53.84239159733926
263,1320000000,53.46744226989224
264,1325000000,53.35957778277081
265,1330000000,53.2061349619846
266,1335000000,51.85119809716199
267,1340000000,52.834828561050905
268,1345000000,52.15597468069784
269,1350000000,51.73397488368297
270,1355000000,51.96555042821569
271,1360000000,51.40259609342303
272,1365000000,52.05864918818442
273,1370000000,51.38621387551383
274,1375000000,51.23003669774206
275,1380000000,51.250923228142234
276,1385000000,50.70677672168033
277,1390000000,51.375732160948516
278,1395000000,52.020802724639395
279,1400000000,52.082867341885105
280,1405000000,51.0490957711241
281,1410000000,51.34812863380334
282,1415000000,51.8962738294393
283,1420000000,51.818509620336236
284,1425000000,51.81410950566476
285,1430000000,51.238108895690004
286,1435000000,50.85946327593824
287,1440000000,51.736242827110665
288,1445000000,51.476597522635515
289,1450000000,51.28692659650365
290,1455000000,51.40599910603113
291,1460000000,51.09001199117141
292,1465000000,51.52881350297544
293,1470000000,51.08820296213658
294,1475000000,50.89248212769829
295,1480000000,50.91588728694152
296,1485000000,51.26296891434159
297,1490000000,51.52736429673373
298,1495000000,51.156016208592945
299,1500000000,51.15224954247301
300,1505000000,50.24359887020393
301,1510000000,52.14742638773972
302,1515000000,51.21908705519792
303,1520000000,50.871730646126636
304,1525000000,50.98998932299633
305,1530000000,50.417175903668145
306,1535000000,49.01892223606085
307,1540000000,49.1429991856461
308,1545000000,49.2203136614642
309,1550000000,48.62642824164545
310,1555000000,49.0846443542941
311,1560000000,49.235037416409924
312,1565000000,46.32167122832511
313,1570000000,50.407901177693574
314,1575000000,50.86591552043219
315,1580000000,53.99932904024347
316,1585000000,53.40875337033465
317,1590000000,55.954491219722776
318,1595000000,52.90574795883462
319,1600000000,53.81703399871968
320,1605000000,54.324563027203055
321,1610000000,55.6892271022547
322,1615000000,56.82922736568544
323,1620000000,54.27588811020629
324,1625000000,54.322291012304525
