Iteration,Timesteps,Evaluation_score
0,203113,225.6663263620297
1,1037480,226.0911320514394
2,1544811,226.11400301859462
3,2066786,227.41935519124098
4,2589877,227.96662011081025
5,3056396,230.120974709826
6,3649387,229.69191606620316
7,4187826,232.28813245434768
8,4630340,232.27363599557256
9,5067139,233.3374815924351
10,5560204,234.6589690559099
11,6136295,236.45495084750314
12,6692677,238.55808964839812
13,7146085,238.54076655345438
14,7672988,240.48478751986255
15,8149807,240.53832303785566
16,8680825,242.72551788555447
17,9166910,243.50659257502957
18,9717364,243.4899341345344
19,10239326,245.25193510718742
20,10782624,246.73956591073738
21,11286613,248.06092791821598
22,11772220,248.88620235404693
23,12310730,249.65023319332653
24,12814351,252.45788407326754
25,13334670,252.9124784021551
26,13953696,251.53514562520735
27,14470096,253.55303081934682
28,14955156,252.87274971493449
29,15422083,254.03840460350466
30,15917209,252.77537303754124
31,16448251,253.950331171959
32,17045768,255.29093181899543
33,17523531,253.5457494937876
34,17988012,254.3158170929848
35,18519126,253.5526658070475
36,19006227,254.6334750417462
37,19459216,254.72219289622748
38,20012110,257.0725482330814
39,20574449,255.0744648227331
40,21149363,255.73091097566345
41,21654031,256.9495252289606
42,22195109,256.6647146713887
43,22684799,257.26963391897704
44,23150273,256.6840411029735
45,23694537,258.922023928794
46,24204373,258.9805078106591
47,24742692,258.9785263548296
48,25274180,258.5701478126448
49,25790194,259.1923924835349
50,26260735,260.0805989505566
51,26722897,260.2570666557218
52,27242027,259.5460171961159
53,27812404,260.76869837466313
54,28308767,261.16580637165544
55,28854586,260.7029728146932
56,29341698,260.291850266924
57,29852370,261.52826738898005
58,30299810,260.9748126381345
59,30699180,260.4093156424318
60,31184068,261.439851405497
61,31653009,261.137387431517
62,32269692,261.83659004111905
63,32753913,261.43829324594736
64,33266854,263.07265382014066
65,33682806,263.0047616393214
66,34226876,262.74802189509194
67,34709924,263.3243931210841
68,35297468,264.0586800278508
69,35792207,264.2019728679173
70,36266539,264.49185402401906
71,36724285,265.48961951605395
72,37276618,264.9025779704966
73,37708139,265.0972468017772
74,38219365,265.51909834498963
75,38734680,265.8278279868558
76,39240507,265.9568762768023
77,39806190,265.81253409035156
78,40249514,266.4683010052913
79,40800655,266.7917157996982
80,41275847,267.1313744565857
81,41752172,268.63463642185354
82,42267948,267.38322235053806
83,42759221,267.8416075431574
84,43270987,269.0965673139734
85,43675682,270.1843966837365
86,44179889,270.6142482814487
87,44702152,271.00576808731705
88,45141849,271.14375884296066
89,45687956,269.6453342532817
90,46159006,271.04243459651906
91,46620140,270.20823541125736
92,47113856,271.71127778279686
93,47606122,271.171551039655
94,48118006,272.5743755999687
95,48627587,271.15325337545073
96,49170561,272.43389323574445
97,49679969,272.3035859449951
98,50119394,272.4263648957977
99,50708643,273.16212172953817
100,51225125,272.95810743315155
101,51723332,273.22986775297676
102,52162657,275.2759188563189
103,52654180,273.98866094003483
104,53205885,273.70520238620657
105,53745370,274.63802375099505
106,54363595,275.72830495590404
107,54911197,276.0673376131046
108,55399996,275.74049460581585
109,55981410,276.94092480490934
110,56477581,277.5976559128717
111,56996022,278.1019364798001
112,57482819,278.39582718475106
113,57976710,278.37770870644215
114,58511749,279.9119387314994
115,59005212,280.1139726761545
116,59543876,280.3918603741386
117,60085004,280.44334091113933
118,60577572,280.6142512070492
119,61135570,281.5459933407682
120,61686092,282.47586131207817
121,62199155,282.5940039964445
122,62751930,283.7036365498951
123,63265567,282.8768826957809
124,63801268,284.25831888013266
125,64443597,282.81888775388865
126,64966869,284.5890331627154
127,65522163,283.1118537789064
128,66045411,282.62599437468805
129,66613035,284.0785613664115
130,67116099,284.33371565941627
131,67652085,284.70626052229085
132,68217163,284.4228936635727
133,68731130,284.75389709967476
134,69161395,285.8536604804209
135,69668838,285.2039638568369
136,70135308,286.495960871206
137,70621793,285.8628874965353
138,71097190,286.101352380735
139,71572469,286.65398983549596
140,72056949,287.1165556215778
141,72580160,287.95449845066526
142,73115276,289.13184539944973
143,73626406,288.84477866936686
144,74110827,290.05569650713295
145,74651233,290.8729274483105
146,75219592,291.18293690984177
147,75668758,291.50105342325156
148,76164168,291.72816994488744
149,76700906,291.2086677565707
150,77164534,292.2766719344687
151,77635231,292.5675585011396
152,78150827,290.8615472194093
153,78705282,291.90778053667975
154,79130341,292.6880227231867
155,79615886,293.15376492716814
156,80186730,293.5541008159422
157,80717206,294.1254390920587
158,81268872,293.2654544602194
159,81726117,294.62881942874736
160,82274709,295.13223047946383
161,82790528,295.0210886925491
162,83303810,295.65829132410533
163,83820435,295.94389665733183
164,84313841,295.87022640354803
165,84805227,295.76345843570857
166,85272407,296.35641327357075
167,85762160,295.92026457241775
168,86278161,296.19965614688806
169,86761753,296.8612492717707
170,87254855,298.2584395417272
171,87913138,296.37004250998933
172,88388676,297.701196532688
173,88945159,298.5739670033116
174,89482076,297.6443812441613
175,89988331,298.58147223454944
176,90515693,298.6780489629059
177,91079945,299.19334864963423
178,91630789,299.57505834863673
179,92113764,299.5240814394212
180,92660606,299.8455529967035
181,93158478,300.3379491448774
182,93660194,300.3466359042203
183,94154029,300.62325236934197
184,94683152,301.18123629779797
185,95291353,301.3077659052961
186,95770138,301.2056866502439
187,96309420,301.7731039959887
188,96828579,301.69609036241246
189,97380608,301.7032048709478
190,97918109,302.49773796105006
191,98327178,302.8626400881043
192,98838489,302.73129674751425
193,99301458,301.82127914491264
194,99823974,302.8159082850938
195,100432666,301.5419502068698
196,100960257,302.4467516610208
197,101458082,302.34454185819027
198,101942747,302.5596392881937
199,102473873,302.97500643207235
200,102996925,303.72275435111834
201,103515947,302.6712529345178
202,103964661,304.0679350822449
203,104448177,302.66784630847656
204,105039311,302.8175682121612
205,105571579,303.6580982293613
206,106031431,303.6046774341429
207,106606861,302.7839205444803
208,107075606,304.6936749823823
209,107554793,303.23629579743255
210,108069311,304.0186888631058
211,108581387,302.84517067531937
212,109152517,303.9870342551468
213,109627246,303.99361579750456
214,110113231,303.87205327840536
215,110659317,305.6522214599623
216,111143555,303.54846813872234
217,111682684,305.43440006082324
218,112145941,304.8043749537441
219,112641247,306.183777475393
220,113257694,305.4779559886953
221,113782383,304.9303766577281
222,114293562,306.0998492901015
223,114774602,306.44909593727436
224,115299194,306.20421644329497
225,115792307,307.47092551967
226,116392284,306.1541924192828
227,116925174,306.82880263194755
228,117369900,305.71208755494746
229,117841339,307.0231773044556
230,118354596,307.1397125330958
231,118866543,306.79292304875673
232,119355666,308.41856359987565
233,119852801,307.6881215345626
