Iteration,Timesteps,Evaluation_score
0,2800000,-83.23506036861247
1,5600000,-80.35662292709961
2,8400000,-76.15028057274189
3,11200000,-71.45200841386892
4,14000000,-66.89617757603574
5,16800000,-63.20703513158388
6,19600000,-58.54223709143419
7,22400000,-55.40571497387383
8,25200000,-52.020057391926
9,28000000,-48.97453300328867
10,30800000,-47.351005607478996
11,33600000,-44.456775572105535
12,36400000,-43.338556084318164
13,39200000,-40.99533975464418
14,42000000,-41.00065047297864
15,44800000,-39.925090485863
16,47600000,-40.31107798602943
17,50400000,-37.603491560897524
18,53200000,-35.949872433964174
19,56000000,-35.55502618617781
20,58800000,-33.71256328807056
21,61600000,-32.23954847187269
22,64400000,-31.00709860348609
23,67200000,-29.696475945311825
24,70000000,-29.137825829988135
25,72800000,-29.414679357217516
26,75600000,-28.68847727215995
27,78400000,-27.400089779166404
28,81200000,-27.520649052135404
29,84000000,-26.07728170668497
30,86800000,-26.58813537046159
31,89600000,-27.7134773658071
32,92400000,-29.150992357425697
33,95200000,-28.017614036928784
34,98000000,-28.61078184703203
35,100800000,-27.557476191293933
36,103600000,-26.75914592956434
37,106400000,-24.54176961398157
38,109200000,-21.832790475458534
39,112000000,-17.6245017242938
40,114800000,-12.437889238125573
41,117600000,-6.830270985131079
42,120400000,-3.7837734769778457
43,123200000,-3.1399489844333823
44,126000000,-0.8810577131369272
45,128800000,0.9828415131076531
46,131600000,2.079456487352566
47,134400000,-0.010929838806006485
48,137200000,-1.7306594764144656
49,140000000,-3.2355129943855645
50,142800000,-6.3013854591908345
51,145600000,-7.816170085365219
52,148400000,-10.392367876358092
53,151200000,-13.308076946938645
54,154000000,-18.2166252666257
55,156800000,-20.983011124689195
56,159600000,-24.70551008733243
57,162400000,-27.081393525292878
58,165200000,-26.602054482771205
59,168000000,-25.528645076690413
60,170800000,-24.163938846863612
61,173600000,-17.84961951813453
62,176400000,-13.981919224517828
63,179200000,-8.576845189312223
64,182000000,-5.554744263005942
65,184800000,-7.204596676525665
66,187600000,-5.433676997101709
67,190400000,-2.2902179820699304
68,193200000,-1.473731990701666
69,196000000,2.9727617530176524
70,198800000,15.082978636100787
71,201600000,26.723734186193518
72,204400000,27.69870248382919
73,207200000,38.37829310317714
74,210000000,54.68800769273147
75,212800000,70.48125116496458
76,215600000,93.52699912815322
77,218400000,108.06599505242787
78,221200000,120.62554438060901
79,224000000,130.37799406797998
80,226800000,134.60512356163306
81,229600000,140.96662745254991
82,232400000,137.85661262679182
83,235200000,144.29441844720367
84,238000000,146.2992175270248
85,240800000,143.92150724168408
86,243600000,157.36070906652034
87,246400000,171.3123933170197
88,249200000,164.42813672698836
89,252000000,171.3058558797206
90,254800000,170.0330950845983
91,257600000,168.05571392487178
92,260400000,178.91787854056787
93,263200000,186.42851486007248
94,266000000,180.8453393842681
95,268800000,204.7311826108791
96,271600000,175.19621117667555
97,274400000,146.55198137988114
98,277200000,171.41209552775223
99,280000000,149.92191573281121
100,282800000,166.1767398628473
101,285600000,183.64228167478763
102,288400000,221.92035786579567
103,291200000,233.49785220661215
104,294000000,266.6079171711141
105,296800000,283.0234627613396
106,299600000,300.14719823785657
107,302400000,299.6183492224446
108,305200000,317.5843087730688
109,308000000,318.1722948170881
110,310800000,310.86856496133004
111,313600000,310.6221046322748
112,316400000,305.5189488542064
113,319200000,328.18303713642075
114,322000000,357.88330497868753
115,324800000,306.02480434757456
116,327600000,338.08410899220723
117,330400000,339.7021301957426
118,333200000,327.02283964096875
119,336000000,308.65952771047614
120,338800000,336.83618588581305
121,341600000,323.1723096324105
122,344400000,320.9854558334468
123,347200000,332.9744005584634
124,350000000,350.26873928960276
125,352800000,376.47783898469226
126,355600000,400.5784511658965
127,358400000,425.360730354123
128,361200000,456.52951419992195
129,364000000,443.4208982663814
130,366800000,450.79054887188914
131,369600000,498.3942624859819
132,372400000,466.02131582774945
133,375200000,477.022152547317
134,378000000,528.872597987133
135,380800000,508.516134693885
136,383600000,544.1823212319882
137,386400000,558.4898848899384
138,389200000,549.2229370514311
139,392000000,544.1741653762386
140,394800000,591.0252188662091
141,397600000,666.2229126235952
142,400400000,664.8582979994505
143,403200000,636.5490952630224
144,406000000,681.8822699754237
145,408800000,678.6449206945028
146,411600000,669.1766456533112
147,414400000,686.8752817294192
148,417200000,645.6149898604094
149,420000000,712.2999857274328
150,422800000,705.6728356841923
151,425600000,723.1804666616501
152,428400000,704.7800106923088
153,431200000,742.5809397938228
154,434000000,737.2815570649384
