Iteration,Timesteps,Evaluation_score
0,55894,10.464224845177661
1,90558,10.264024854791709
2,120774,10.837250931942496
3,156752,11.165797522134227
4,196724,11.343911853346581
5,230578,11.422603844512121
6,264349,11.505080225806179
7,301784,12.32286275503723
8,340962,13.076097022442019
9,382421,13.280133046791681
10,421245,13.38850347076731
11,464169,15.002897070157369
12,514028,15.18073106219335
13,563253,16.798218894271294
14,617711,17.123248102657264
15,658858,18.99430835323604
16,708604,19.293014005073935
17,771561,21.329659595341926
18,828475,23.418037132515387
19,874619,25.345953766461722
20,925862,27.349617580396824
21,989614,29.15725392128341
22,1036023,31.22183549928817
23,1095938,34.037605298501454
24,1161872,37.07424738263025
25,1233738,41.2847826256748
26,1305219,45.22235829518723
27,1371228,50.41775277228275
28,1427018,57.54745429441709
29,1504933,64.50462984275477
30,1579187,70.16867793165902
31,1656721,78.88170401041145
32,1725467,91.52427581297772
33,1788524,107.69810226762418
34,1860443,126.22219060815276
35,2065852,144.906579220933
36,2152612,119.1994605046189
37,2243198,63.45468703321885
38,2314449,52.55998910990648
39,2406937,48.26437271854725
40,2495115,45.64614455103068
41,2572689,44.6013002469475
42,2670863,43.33906829791988
43,2753054,43.49787559781923
44,2836959,43.52784249610967
45,2904327,44.036208782588396
46,2983972,44.43650087316821
47,3064040,44.20746685894015
48,3185423,44.05037650974619
49,3264153,44.7833236175849
50,3358674,45.109509451065925
51,3443362,45.22216697459183
52,3540205,45.87185031784783
53,3633431,46.35103596576136
54,3714135,49.45097897287941
55,3815458,51.671025303860084
56,3905879,65.04883090615084
57,3988722,112.54501192435198
58,4077544,123.56085649914844
59,4168566,126.24899071592665
60,4247347,127.42146789773703
61,4334493,128.13069353478554
62,4423839,128.85618003445856
63,4534255,130.56267980111005
64,4625236,130.72131842652848
65,4711907,130.81982676788456
66,4795482,133.79339477381507
67,4876481,133.78529699470965
68,4951050,133.62510409893588
69,5055878,136.3932596102087
70,5148254,136.54396656020532
71,5224539,136.56080686703973
72,5317450,135.5645078478064
73,5404777,133.36456548069617
74,5497134,133.4137283480733
75,5585173,133.35520560145108
76,5674103,134.12588327886786
77,5780262,133.6066636283044
78,5856445,133.79316633955403
79,5955286,134.06347290723946
80,6042699,131.254574936496
81,6131629,131.3687731990125
82,6237451,131.25750270468433
83,6343773,129.0954576921596
84,6436375,128.6870902324546
85,6530730,128.58398866423414
86,6619043,128.42492710576545
87,6705915,127.13846300219704
88,6800901,126.40638557581288
89,6901073,126.30503741081608
90,6988571,126.08098067036242
91,7095659,126.14144364026178
92,7173254,125.45402738026107
93,7273701,124.19599806712517
94,7370256,123.69927098677624
95,7461978,124.51886298450142
96,7558249,123.79665019826106
97,7665409,125.14181759247234
98,7780219,124.05657097067144
99,7891840,125.45247950588039
100,7981222,123.78626238116772
101,8083658,125.39760306986656
102,8192690,126.25183463033838
103,8297731,126.64569327318841
104,8414315,126.91882007489592
105,8496386,126.83898458368469
106,8588642,127.61332482467503
107,8704867,127.0162849722933
108,8795074,127.35643190859646
