Iteration,Timesteps,Evaluation_score
0,71704,16.790276752010275
1,314674,26.359201826631136
2,605744,38.5483250667526
3,760662,47.3957743191799
4,911489,57.07063035676705
5,1124864,69.21663876300664
6,1437773,78.41534053147767
7,1741011,92.92166183916046
8,2034183,184.48987532598647
9,2350425,178.43257531002482
10,2706173,126.67397012905994
11,3033154,92.25807444904837
12,3336102,77.08245171838084
13,3604302,68.12642923347055
14,3882139,73.80071830578714
15,4204289,176.4308599378584
16,4455309,778.83111125699
17,4835469,468.91863384586213
18,5346253,303.58939695550595
19,5612966,294.2944677549737
20,6187233,289.1689831712956
21,6586336,287.79738044746216
22,7106434,286.10930588280087
23,7898111,284.8775011503609
24,8312011,284.1945815337642
25,8896092,283.6452111508792
26,9524997,282.8150910003645
27,9935047,281.31579727514236
28,10613466,283.2293768242098
29,10942375,282.00717079915614
30,11470485,284.2366500020688
31,11962380,286.2259873068856
32,12473606,290.2580138761207
33,12956615,288.09437115567357
34,13325777,290.6990089366077
35,14111402,292.2808733573533
36,14765724,292.85624388965266
37,15368267,301.03719483392354
38,16132523,299.73541991350055
39,16691411,300.8935838430792
40,17151284,304.9927663982072
41,17743282,305.7164862659256
