Iteration,Timesteps,Evaluation_score
0,2800000,-83.23506036861247
1,5600000,-80.35662292709961
2,8400000,-76.15028057274189
3,11200000,-71.45200841386892
4,14000000,-66.89617757603574
5,16800000,-63.20703513158388
6,19600000,-58.54223709143419
7,22400000,-55.40571497387383
8,25200000,-52.020057391926
9,28000000,-48.97453300328867
10,30800000,-47.351005607478996
11,33600000,-44.456775572105535
12,36400000,-43.338556084318164
13,39200000,-40.99533975464418
14,42000000,-41.00065047297864
15,44800000,-39.925090485863
16,47600000,-40.31107798602943
17,50400000,-37.603491560897524
18,53200000,-35.949872433964174
19,56000000,-35.55502618617781
20,58800000,-33.71256328807056
21,61600000,-32.23954847187269
22,64400000,-31.00709860348609
23,67200000,-29.696475945311825
24,70000000,-29.137825829988135
25,72800000,-29.414679357217516
26,75600000,-28.68847727215995
27,78400000,-27.400089779166404
28,81200000,-27.520649052135404
29,84000000,-26.07728170668497
30,86800000,-26.58813537046159
31,89600000,-27.7134773658071
32,92400000,-29.150992357425697
33,95200000,-28.017614036928784
34,98000000,-28.61078184703203
35,100800000,-27.557476191293933
36,103600000,-26.75914592956434
37,106400000,-24.54176961398157
38,109200000,-21.832790475458534
39,112000000,-17.6245017242938
40,114800000,-12.437889238125573
